1,Back-end Developer Internship,Job Descriptions Merancang dan membuat API dengan Laravel Memelihara dan meningkatkan website Berkolaborasi dengan front-end developers untuk meningkatkan kegunaan Job Requirements Fresh Graduate atau mahasiswa tingkat akhir jurusan Informatika / Sistem Informasi / yang relevan Bersedia magang selama 3 bulan dengan sistem WFA (Work From Anywhere) menguasai bahasa pemrogramman PHP khusunya memiliki pemahaman yg mendalam tentang LARAVEL Menguasai API (Application Programming Interface). harus mampu membuat RESTful API menggunakan Laravel untuk komunikasi antara berbagai komponen aplikasi. Memiliki skill komunikasi yang baik Berkomitmen dan bertanggung jawab untuk mengikuti program magang hingga selesai,
2,Website Developer,<p><strong>Kualifikasi :</strong>&nbsp;</p><ul><li>Wajib memiliki laptop sendiri.</li><li>Mampu membuat website dan landing page sesuai dengan kebutuhan perusahaan </li><li>Mampu  Optimasi SEO</li><li>Masa magang minimum 3 bulan dengan jam kerja normal</li><li>Harus menyertakan portofolio</li></ul><p><br></p><p><br></p><p><strong>Benefit :</strong></p><ul><li>Sertifikat Magang&nbsp;</li><li>Konversi Nilai</li><li>Sistem WFH</li></ul><p><strong>Kualifikasi :</strong>&nbsp;</p><ul><li>Wajib memiliki laptop sendiri.</li><li>Mampu membuat website dan landing page sesuai dengan kebutuhan perusahaan </li><li>Mampu  Optimasi SEO</li><li>Masa magang minimum 3 bulan dengan jam kerja normal</li><li>Harus menyertakan portofolio</li></ul><p><br></p><p><br></p><p><strong>Benefit :</strong></p><ul><li>Sertifikat Magang&nbsp;</li><li>Konversi Nilai</li><li>Sistem WFH</li></ul>,"['Komunikasi', 'Kreatif', 'Pemahaman Industri', 'Manajemen Proyek', 'Kreativitas', 'Kerjasama Tim', 'Keahlian Teknologi', 'Pemasaran Produk']"
3,Software Architect Intern,<p>To help architect team on demonstration of an improvement idea in which work is focused on determining whether an idea can be turned into a reality.</p><p><br></p><p>The improvement might include:</p><p>- Test Optimization</p><p>- Test Automation</p><p>- Framework usage e.g Test framework or design</p>,"['Komunikasi', 'Kreatif', 'Desain Grafis', 'Coding']"
